length,deleting,Class
1022,0.0001,Set
1024,0.0004,Vector
1024,0.0001,Set
1026,0.0005,Vector
1026,0.0001,Set
1028,0.0005,Vector
1028,0.0001,Set
1030,0.0005,Vector
1030,0.0001,Set
1032,0.0004,Vector
1032,0.0002,Set
1034,0.0004,Vector
1034,0.0001,Set
1036,0.0004,Vector
1036,0.0001,Set
1038,0.0004,Vector
1038,0.0001,Set
1040,0.0005,Vector
1040,0.0001,Set
1042,0.0004,Vector
1042,0.0001,Set
1044,0.0004,Vector
1044,0.0001,Set
1046,0.0005,Vector
1046,0.0001,Set
1048,0.0005,Vector
1048,0.0001,Set
1050,0.0005,Vector
1050,0.0001,Set
1052,0.0005,Vector
1052,0.0001,Set
1054,0.0004,Vector
1054,0.0001,Set
1056,0.0004,Vector
1056,0.0001,Set
1058,0.0004,Vector
1058,0.0001,Set
1060,0.0004,Vector
1060,0.0001,Set
1062,0.0005,Vector
1062,0.0002,Set
1064,0.0005,Vector
1064,0.0002,Set
1066,0.0005,Vector
1066,0.0002,Set
1068,0.0005,Vector
1068,0.0001,Set
1070,0.0004,Vector
1070,0.0001,Set
1072,0.0004,Vector
1072,0.0001,Set
1074,0.0004,Vector
1074,0.0001,Set
1076,0.0005,Vector
1076,0.0001,Set
1078,0.0004,Vector
1078,0.0001,Set
1080,0.0004,Vector
1080,0.0001,Set
1082,0.0005,Vector
1082,0.0002,Set
1084,0.0005,Vector
1084,0.0002,Set
1086,0.0004,Vector
1086,0.0001,Set
1088,0.0005,Vector
1088,0.0001,Set
1090,0.0004,Vector
1090,0.0001,Set
1092,0.0005,Vector
1092,0.0001,Set
1094,0.0004,Vector
1094,0.0001,Set
1096,0.0004,Vector
1096,0.0001,Set
1098,0.0005,Vector
1098,0.0001,Set
1100,0.0005,Vector
1100,0.0001,Set
1102,0.0004,Vector
1102,0.0001,Set
1104,0.0005,Vector
1104,0.0001,Set
1106,0.0004,Vector
1106,0.0001,Set
1108,0.0006,Vector
1108,0.0002,Set
1110,0.0005,Vector
1110,0.0001,Set
1112,0.0005,Vector
1112,0.0002,Set
1114,0.0005,Vector
1114,0.0001,Set
1116,0.0004,Vector
1116,0.0001,Set
1118,0.0005,Vector
1118,0.0001,Set
1120,0.0005,Vector
1120,0.0001,Set
1122,0.0004,Vector
1122,0.0001,Set
1124,0.0004,Vector
1124,0.0001,Set
1126,0.0004,Vector
1126,0.0001,Set
1128,0.0005,Vector
1128,0.0001,Set
1130,0.0004,Vector
1130,0.0001,Set
1132,0.0005,Vector
1132,0.0001,Set
1134,0.0005,Vector
1134,0.0001,Set
1136,0.0004,Vector
1136,0.0001,Set
1138,0.0005,Vector
1138,0.0001,Set
1140,0.0005,Vector
1140,0.0002,Set
1142,0.0005,Vector
1142,0.0001,Set
1144,0.0005,Vector
1144,0.0001,Set
1146,0.0005,Vector
1146,0.0001,Set
1148,0.0005,Vector
1148,0.0001,Set
1150,0.0004,Vector
1150,0.0001,Set
1152,0.0005,Vector
1152,0.0001,Set
1154,0.0005,Vector
1154,0.0001,Set
1156,0.0005,Vector
1156,0.0001,Set
1158,0.0005,Vector
1158,0.0001,Set
1160,0.0005,Vector
1160,0.0001,Set
1162,0.0005,Vector
1162,0.0001,Set
1164,0.0005,Vector
1164,0.0001,Set
1166,0.0005,Vector
1166,0.0001,Set
1168,0.0004,Vector
1168,0.0001,Set
1170,0.0005,Vector
1170,0.0001,Set
1172,0.0005,Vector
1172,0.0001,Set
1174,0.0005,Vector
1174,0.0001,Set
1176,0.0004,Vector
1176,0.0001,Set
1178,0.0004,Vector
1178,0.0001,Set
1180,0.0005,Vector
1180,0.0001,Set
1182,0.0005,Vector
1182,0.0001,Set
1184,0.0005,Vector
1184,0.0001,Set
1186,0.0005,Vector
1186,0.0001,Set
1188,0.0004,Vector
1188,0.0001,Set
1190,0.0004,Vector
1190,0.0001,Set
1192,0.0005,Vector
1192,0.0001,Set
1194,0.0005,Vector
1194,0.0001,Set
1196,0.0005,Vector
1196,0.0001,Set
1198,0.0005,Vector
1198,0.0002,Set
1200,0.0004,Vector
1200,0.0001,Set
1202,0.0004,Vector
1202,0.0001,Set
1204,0.0004,Vector
1204,0.0001,Set
1206,0.0005,Vector
1206,0.0001,Set
1208,0.0005,Vector
1208,0.0001,Set
1210,0.0005,Vector
1210,0.0001,Set
1212,0.0005,Vector
1212,0.0001,Set
1214,0.0005,Vector
1214,0.0001,Set
1216,0.0004,Vector
1216,0.0001,Set
1218,0.0004,Vector
1218,0.0001,Set
1220,0.0005,Vector
1220,0.0002,Set
1222,0.0005,Vector
1222,0.0001,Set
1224,0.0005,Vector
1224,0.0001,Set
1226,0.0005,Vector
1226,0.0001,Set
1228,0.0005,Vector
1228,0.0001,Set
1230,0.0005,Vector
1230,0.0001,Set
1232,0.0005,Vector
1232,0.0001,Set
1234,0.0005,Vector
1234,0.0001,Set
1236,0.0005,Vector
1236,0.0001,Set
1238,0.0005,Vector
1238,0.0001,Set
1240,0.0005,Vector
1240,0.0001,Set
1242,0.0005,Vector
1242,0.0001,Set
1244,0.0005,Vector
1244,0.0001,Set
1246,0.0005,Vector
1246,0.0001,Set
1248,0.0005,Vector
1248,0.0002,Set
1250,0.0005,Vector
1250,0.0001,Set
1252,0.0005,Vector
1252,0.0001,Set
1254,0.0005,Vector
1254,0.0001,Set
1256,0.0005,Vector
1256,0.0001,Set
1258,0.0005,Vector
